AutoRank,GenderRank,AgeGroupRank,Bib,Lastname,Firstname,Gender,AgeGroup,Club,Time,Contest.NameShort,ColumnName4,ColumnData4,Фамилия Имя,Время,Пол
84,82,4,50,Лисецкий,Дмитрий,m,M18-29,,11:54:36,Полная 226,Город,Могилёв,Лисецкий Дмитрий,11:54:36.0,М
85,83,8,63,Kozakovsky,Dmitry,m,M50-54,Altius!,11:54:47,Полная 226,Город,Minsk,Kozakovsky Dmitry,11:54:47.0,М
86,84,24,37,Вашкевич,Владимир,m,M40-44,,11:54:50,Полная 226,Город,Брест,Вашкевич Владимир,11:54:50.0,М
87,85,29,130,Балягин,Сергей,m,M35-39,Гумус Трейл,11:56:26,Полная 226,Город,Воронеж,Балягин Сергей,11:56:26.0,М
88,86,13,94,Пасюк,Николай,m,M45-49,,11:59:00,Полная 226,Город,Минск,Пасюк Николай,11:59:00.0,М
89,87,30,146,Буштырев,Антон,m,M35-39,Mineevtriatlonteem,11:59:11,Полная 226,Город,Ростов на Дону,Буштырев Антон,11:59:11.0,М
90,88,14,110,Моженков,Сергей,m,M45-49,,11:59:32,Полная 226,Город,Могилёв,Моженков Сергей,11:59:32.0,М
91,89,15,155,Кубасов,Виталий,m,M45-49,Citylink Triathlon Team,12:00:03,Полная 226,Город,Петрозаводск,Кубасов Виталий,12:00:03.0,М
92,90,25,4,Косяченко,Артём,m,M40-44,,12:00:41,Полная 226,Город,Чудово,Косяченко Артём,12:00:41.0,М
93,3,3,29,Ковалевская,Наталья,f,F ABS,,12:01:04,Полная 226,Город,Минск,Ковалевская Наталья,12:01:04.0,Ж
94,91,26,133,Кривченко,Иван,m,M40-44,,12:02:21,Полная 226,Город,Липецк,Кривченко Иван,12:02:21.0,М
95,92,5,157,Navashynski,Aliaksandr,m,M30-34,,12:04:08,Полная 226,Город,Минск,Navashynski Aliaksandr,12:04:08.0,М
96,93,16,102,Дубковский,Александр,m,M45-49,,12:10:31,Полная 226,Город,Заславль,Дубковский Александр,12:10:31.0,М
97,4,1,149,Кушнарева,Наталья,f,F40-49,,12:12:07,Полная 226,Город,Красноярск,Кушнарева Наталья,12:12:07.0,Ж
98,94,17,2,Юрков,Александр,m,M45-49,Регион,12:12:41,Полная 226,Город,Минск,Юрков Александр,12:12:41.0,М
99,95,27,150,Капошко,Иван,m,M40-44,,12:15:14,Полная 226,Город,Красноярск,Капошко Иван,12:15:14.0,М
100,96,31,105,Вульфсон,Александр,m,M35-39,,12:19:34,Полная 226,Город,Псков,Вульфсон Александр,12:19:34.0,М
101,5,1,42,Леонова,Ольга,f,F30-39,Di3,12:21:40,Полная 226,Город,Новосибирск,Леонова Ольга,12:21:40.0,Ж
102,97,32,13,Абузьяров,Андрей,m,M35-39,Заполярье,12:22:35,Полная 226,Город,Тюмень,Абузьяров Андрей,12:22:35.0,М
103,6,2,111,ВИКЕНТЬЕВА,ЕЛЕНА,f,F40-49,VIKENTIEV TEAM,12:23:12,Полная 226,Город,Минск,ВИКЕНТЬЕВА ЕЛЕНА,12:23:12.0,Ж
104,98,2,122,Фатыхов,Рустем,m,M55-59,NovgorodTRI,12:24:25,Полная 226,Город,Великий Новгород,Фатыхов Рустем,12:24:25.0,М
105,99,28,51,Вашкевич,Антон,m,M40-44,Каяк,12:26:08,Полная 226,Город,Борисов,Вашкевич Антон,12:26:08.0,М
106,100,1,128,Костынич,Сергей,m,M60+,Без сомнений,12:30:42,Полная 226,Город,Москва,Костынич Сергей,12:30:42.0,М
107,101,18,123,Махненко,Роман,m,M45-49,,12:31:22,Полная 226,Город,Краснодар,Махненко Роман,12:31:22.0,М
108,102,29,127,Слободько,Дмитрий,m,M40-44,MagicSport,12:32:51,Полная 226,Город,пос. Полоневичи,Слободько Дмитрий,12:32:51.0,М
109,7,3,6,Травина,Елена,f,F40-49,Run4Fun_iv37,12:34:12,Полная 226,Город,Иваново,Травина Елена,12:34:12.0,Ж
110,103,9,88,Веремчук,Павел,m,M50-54,,12:35:10,Полная 226,Город,Брест,Веремчук Павел,12:35:10.0,М
111,104,2,153,Соколов,Андрей,m,M60+,Masters team,12:36:07,Полная 226,Город,Москва,Соколов Андрей,12:36:07.0,М
112,105,19,151,Хорьков,Даниил,m,M45-49,,12:36:51,Полная 226,Город,Петрозаводск,Хорьков Даниил,12:36:51.0,М
113,106,30,152,Соловьёв,Сергей,m,M40-44,Алтайские тюлени,12:38:51,Полная 226,Город,Новоалтайск,Соловьёв Сергей,12:38:51.0,М
114,107,31,20,Автушко,Сергей,m,M40-44,Аист,12:39:57,Полная 226,Город,Лепель,Автушко Сергей,12:39:57.0,М
115,108,10,92,Цурковский,Алексей,m,M50-54,Amatar,12:40:50,Полная 226,Город,Минск,Цурковский Алексей,12:40:50.0,М
116,109,32,16,Разорёнов,Валерий,m,M40-44,,12:42:01,Полная 226,Город,Подольск,Разорёнов Валерий,12:42:01.0,М
117,110,33,109,Скирда,Владимир,m,M35-39,РЭМ,12:42:56,Полная 226,Город,Владивосток,Скирда Владимир,12:42:56.0,М
118,111,11,145,Корде,Михаил,m,M50-54,Философия бега,12:43:36,Полная 226,Город,Санкт-Петербург,Корде Михаил,12:43:36.0,М
119,112,34,72,Гагарин,Максим,m,M35-39,Аматар,12:44:28,Полная 226,Город,Барановичи,Гагарин Максим,12:44:28.0,М
120,113,20,107,феофанов,антон,m,M45-49,,12:45:37,Полная 226,Город,Санкт-Петербург,феофанов антон,12:45:37.0,М
121,114,12,139,Афанасьев,Александр,m,M50-54,,12:49:49,Полная 226,Город,Санкт-Петербург,Афанасьев Александр,12:49:49.0,М
122,115,6,79,Минко,Дмитрий,m,M30-34,,12:53:28,Полная 226,Город,Лида,Минко Дмитрий,12:53:28.0,М
123,116,3,69,Евсиков,Александр,m,M60+,Masters Team Triathlon,12:54:46,Полная 226,Город,Домодедово,Евсиков Александр,12:54:46.0,М
124,117,35,75,Говер,Дмитрий,m,M35-39,,13:00:51,Полная 226,Город,Великий Новгород,Говер Дмитрий,13:00:51.0,М
125,118,3,87,Тумаш,Василий,m,M55-59,Регион,13:06:03,Полная 226,Город,Cморгонь,Тумаш Василий,13:06:03.0,М
126,119,21,34,Dubrouski,Maksim,m,M45-49,Altius!,13:08:42,Полная 226,Город,Минск,Dubrouski Maksim,13:08:42.0,М
127,120,13,18,Трегубов,Алексей,m,M50-54,,13:12:00,Полная 226,Город,Ростов-на-Дону,Трегубов Алексей,13:12:00.0,М
128,8,2,143,Думина,Алёна,f,F30-39,,13:13:57,Полная 226,Город,г Москва,Думина Алёна,13:13:57.0,Ж
129,121,7,14,Хайретдинов,Дмитрий,m,M30-34,,13:14:25,Полная 226,Город,Москва,Хайретдинов Дмитрий,13:14:25.0,М
130,122,33,62,Харламов,Павел,m,M40-44,MineevTriathlonTeam,13:16:21,Полная 226,Город,Ростов-на-Дону,Харламов Павел,13:16:21.0,М
131,123,34,35,Травин,Михаил,m,M40-44,Run4Fun_iv37,13:16:39,Полная 226,Город,Иваново,Травин Михаил,13:16:39.0,М
132,124,36,7,Никонюк,Михаил,m,M35-39,,13:21:55,Полная 226,Город,Минск,Никонюк Михаил,13:21:55.0,М
133,125,22,135,Кузнецов,Дмитрий,m,M45-49,,13:31:12,Полная 226,Город,Липецк,Кузнецов Дмитрий,13:31:12.0,М
134,126,14,113,Малышев,Игорь,m,M50-54,,13:36:31,Полная 226,Город,Тверь,Малышев Игорь,13:36:31.0,М
135,9,3,93,Малаховская,Татьяна,f,F30-39,-,13:41:53,Полная 226,Город,минск,Малаховская Татьяна,13:41:53.0,Ж
136,127,35,30,Зырянов,Дмитрий,m,M40-44,WeRunEda,13:55:23,Полная 226,Город,Екатеринбург,Зырянов Дмитрий,13:55:23.0,М
137,128,23,124,Гирин,Олег,m,M45-49,Kubanrun,13:56:13,Полная 226,Город,Краснодар,Гирин Олег,13:56:13.0,М
138,129,24,142,Голубев,Артем,m,M45-49,Rosatom Triathlon Club,13:58:36,Полная 226,Город,Тверь,Голубев Артем,13:58:36.0,М
139,130,25,121,Замша,Валентин,m,M45-49,Реформа бега,14:02:21,Полная 226,Город,Краснодар,Замша Валентин,14:02:21.0,М
140,131,36,86,Авдеев,Александр,m,M40-44,Yolochka Team,14:11:13,Полная 226,Город,Барнаул,Авдеев Александр,14:11:13.0,М
141,132,37,41,Нагорняк,Евгений,m,M35-39,,14:11:28,Полная 226,Город,Минск,Нагорняк Евгений,14:11:28.0,М
142,133,26,33,Борисов,Денис,m,M45-49,-,14:17:07,Полная 226,Город,Королев,Борисов Денис,14:17:07.0,М
143,134,27,67,Барышев,Виктор,m,M45-49,I LOVE SUPERSPORT,14:25:15,Полная 226,Город,КРАСНОЯРСК,Барышев Виктор,14:25:15.0,М
144,135,8,17,Дудалев,Иван,m,M30-34,,14:41:36,Полная 226,Город,Ярославль,Дудалев Иван,14:41:36.0,М
145,10,4,114,Нефедова,Анна,f,F40-49,ненавижу бегать,14:54:18,Полная 226,Город,Владимир,Нефедова Анна,14:54:18.0,Ж
